Title,Ingredients,Preparation,Benefits,Category
- and Consistency (regular healthy Untitled  lifestyle) are presented as key principles
- ""today I am going to give you three C's to get rid of constipation naturally and even permanently""
- DIY Remedies for Acne: Avocado spirulina smoothie
- specific yogasanas Bhujangasana
- Viparit Karani
- Matsyasana)
- alum and rose water toner
- and Ayurvedic face packs Manjistha and Chandan) are recommended
- ""acne is a common problem which affects lots of people it leads to feeling of social withdrawal self-consciousness and low self-confidence especially in youngsters""
- Difference Between Acne and Pimple: Acne is defined as a disease affecting hair follicles and oil glands
- while a pimple is considered a symptom of acne
- ""acne is a disease pimple is one of its symptoms acne is a condition affecting the skin's hair follicle and the oil gland""
- DIY Sunscreen Options: Milk and lemon juice
- aloe vera and zinc lotion
- and aloe vera and glycerin spray are suggested as homemade sunscreen alternatives
- ""let me tell you about some best sunscreen lotions these are homemade sunscreen lotions that may be prepared with readily available ingredients in the house""
- Quick Relievers for Indigestion: Asofetida (hing) with hot water
- ginger and lemon juice with honey
- and baking soda in cold water are mentioned for immediate relief
- ""for a quick relief from indigestion simple treatment would be take  grams of asofetida in a glass of hot water and put little sugar inside
- and drink it""
- Ayurvedic Skin Care Based on Doshas: Tailoring skin care routines and diet according to Vata
- Pitta
- and Kapha doshas is recommended for glowing skin
- ""Ayurveda is like a wise old friend to help us to have a better health It teaches us how to care for our body Good health is reflected in the condition of your skin and Ayurvedic skin care is based on your doshas""
- Neem for Dandruff: Neem leaves
- and powder are highlighted for their antifungal
- antibacterial
- and anti-inflammatory properties in treating dandruff
- ""Neem contains compounds that have antibacterial property Neem contains azadirachtin that can kill Malassezia fungus which feeds on natural oil produced by scalp""
- Untitled   Other Home Remedies for Dandruff: Methi seeds
- coconut oil with lemon juice
- aloe vera
- and amla with tulsi are also presented as effective solutions
- Causes of Dark Circles: Lack of sleep
- stress
- iron deficiency
- environmental changes
- wrong lifestyle
- alcohol
- and smoking are identified as potential causes of dark circles
- ""Dark circles
- The skin there is very very thin compared to other skin""
- Home Remedies for Dark Circles: Potato and cucumber slices or juice
- almond oil
- cold milk
- and a mixture of tomato and lemon juice are suggested
- Ayurvedic Remedies for Good Sleep: Soaked raisins
- ashwagandha milk
- Shankhpushpi tea
- foot massage with sesame oil
- and head massage with Brahmi or Jatamansi oil are recommended for better sleep
- ""sleep is vital thing for our health and well-being""
- Turmeric Milk Golden Milk): This ancient Ayurvedic remedy is highlighted for promoting better sleep
- aiding weight loss
- boosting immunity
- and having anti-inflammatory properties
- ""turmeric milk or golden milk which is known as haldi dud in India turmeric milk is an ancient ayurvedic remedy used from a very long time in India golden milk or turmeric milk helps you to sleep better at night""
- Intestinal Cleansing with Shankarprakshalan: This ancient Hatha Yoga practice is described as a deep detoxification process for the digestive system
- ""shankar prachala it is most ancient practice in hatha yoga which detoxifies your body and makes absolutely clean""
- Three C's for Curing Constipation: Control
- Concentration
- and Consistency are reiterated as essential for naturally and permanently resolving constipation
- Natural Remedies for Premature Graying Hair: Hibiscus yogurt pack
- Bringraj and amla oil
- ashwagandha tea
- inversion asanas
- and a diet rich in copper and omega- are recommended
- ""aging is a natural process and getting gray hair is a natural part of aging
- but these days we ourselves have accelerated the natural aging process""
- Natural Ways to Treat Sinus/Mucus/Phlegm: Jalaneti
- Kapalbhati
- and Kapala Randhra Dhouti are presented as effective cleansing techniques
- Untitled  ""excessive mucus in your system can really be very stressful and very uncomfortable""
- Natural Remedies to Remove Sun Tan: Lemon and honey mask
- and a cooling cucumber and yogurt body mask are suggested
- Dietary changes and hydration are also emphasized
- ""if your skin is exposed to Sun for very long time then it can lead to various skin issues
- if you do get sun tan there are two natural remedies for removing tan""
- Natural Home Remedies for Body Odor: Lemon juice and alum are highlighted as effective due to their antibacterial and astringent properties
- Dietary adjustments (avoiding sulfur-rich foods) and hygiene practices are also important
- ""body odor is the smell that is emitted from our body when sweat comes in contact with bacteria present on the skin""
- Simple Home Remedies to Prevent Hair Loss: Proper scalp circulation
- relaxation
- and the use of amla
- aloe vera
- and curry leaves with coconut oil are recommended
- ""when hair fall what will happen here good at least you look ugly Understand that friends but everybody knows what is the new new hair is going to come and from astrological point of view also it is said that hair has its own period""
- Teeth Whitening with Turmeric: Turmeric paste and a mixture of turmeric and coconut oil are presented as natural methods for teeth whitening and oral care due to turmeric's mild abrasive and antibacterial properties
- ""turmeric or healthi has lots and lots of uses in our country
- today we are going to explore how turmeric can help in whitening your teeth""
- Top Health Benefits of Turmeric: Relieving pain and inflammation
- improving memory
- helping fight depression
- preventing cancer
- boosting immunity
- and promoting glowing skin are highlighted
- ""turmeric a golden spice is used for its powerful medicinal property since generation""
- Top Natural Remedies to Reduce Cough and Cold: Kada
- gargling with salt water
- drinking warm water with lemon
- and getting fresh air are recommended for quick relief
- ""are you tired of suffering from cold and coughs today I will share some quick and easy remedy to help you feel better faster""
- Top  Benefits of Sesame Seed as You Get Older: Rejuvenating quality
- acting as a laxative
- preventing neurodegenerative diseases
- promoting heart Untitled  health and reducing osteoporosis risk
- and improving appearance are discussed
- ""as we age we should take a special care for our diet because as we grow proper nutrients have to be there in our system otherwise it can create problems Sesame or thill is a seed that is an excellent source of healthy fat protein B vitamin minerals fibers antioxidants and other beneficial plant compound""
- Top  Effective Home Remedies for Loose Motions: Black seeds Kalonji) oil
- Musta powder
- buttermilk and fenugreek seeds
- pomegranate
- and rice water are suggested
- Oral rehydration and a bland diet are also crucial
- ""today we are going to talk about very common health issue that can sometimes come very suddenly it is loose motion or diarrhea""
- Top Remedies for Headaches: Ginger green tea
- massage Kapal Randhra Dhouti)
- specific yogasanas Hastapadasana
- Yogamudra
- Setu Bandhasana
- Balasana)
- relaxation techniques Nispandha Bhav
- Shavasana
- Sukhasana)
- and addressing the root cause (stress management
- positive thinking) are recommended
- ""Headache is a very
- very common symptom
- There are over  types of headaches
- Among those  the most common headaches are tension headaches because of stress
- ""  Yogic Home Remedies for Sore Throat: Tulsi leaves
- giloy
- licorice
- ginger
- turmeric
- honey
- garlic
- salt water gargle
- and steam inhalation are presented as effective natural remedies
- ""Sore throat very common symptoms of bacterial or viral infection really really really really effective home remedies with Tulsi Tulsi leaves""
- Remedy  Warm Liquids Ingredients: Warm water
- warm herbal teas
- Preparation: Sip warm liquids frequently throughout the day
- Health Benefits: Soothes the throat and helps in flushing out infection
- Remedy  Honey Ingredients: Honey
- Preparation: Put a few drops of honey in the mouth and swallow slowly
- Untitled  Health Benefits: Excellent source for sore throat
- very soothing
- Remedy  Garlic Ingredients: Garlic clove
- Preparation: Chew one raw garlic clove once or twice a day
- or suck on it for  minutes
- Can put a few drops of honey on it if too pungent
- Health Benefits: Possesses antibacterial
- antifungal
- and antiviral properties
- provides relief from sore throat
- Remedy  Mulethi Licorice) Ingredients: Mulethi (licorice) stick or powder
- Preparation: Chew on a piece of Mulethi stick or mix Mulethi powder with honey
- Health Benefits: Soothes the throat and reduces inflammation
- Remedy  Gargling with Warm Salt Water Ingredients: Warm water
- salt
- Preparation: Add a little salt to warm water and gargle  times a day
- Health Benefits: Very effective home remedy for sore throat
- Remedy  Giloy Guduchi) Ingredients: Giloy stem or powder
- Preparation: Consume a small piece of Giloy stem or Giloy powder mixed with water
- Health Benefits: Excellent anti-inflammatory properties
- helps in sore throat
- Remedy  Tulsi Holy Basil) Leaves Ingredients: Tulsi leaves
- Preparation: Chew a few Tulsi leaves  times a day
- Health Benefits: Amazing herb with expectorant properties
- helps relieve sore throat
- Untitled  Source: ""Yogic Home Remedies for Sore Throat | Dr
- Hansaji Yogendra"" Remedy  Kapala Randhra Dhouti Facial and Head Massage) Preparation: Rub your forehead with fingers  times
- Press eyebrows from center to end until pain disappears
- Move hand around cheeks in and out
- Move hands around ears in and out
- Move fingers into hair and pull hair gently
- Health Benefits: Activates facial nerves and supplies proper blood to the brain
- relieving headaches
- Remedy  Ginger Green Tea Ingredients: Ginger powder
- green tea
- warm water
- Preparation: Prepare a warm ginger green tea
- Health Benefits: Ginger helps ease nausea associated with severe migraine and may ease migraine severity
- Source: ""Top remedies for headaches | Dr
- Hansaji Yogendra"" Remedy  Homemade Oral Rehydrating Solution (for Dehydration due to Loose Motion) Ingredients: One liter of boiled clean water
- to  teaspoon full of salt
- to  teaspoon full of sugar
- optional lemon
- Preparation: Add salt and sugar to boiled and cleaned water
- Sip this liquid throughout the day
- Add some lemon for extra benefit
- Health Benefits: Replenishes lost fluids and electrolytes
- preventing dehydration
- Remedy  Rice Water Ingredients: Leftover water after cooking rice
- Preparation: Collect the leftover water after cooking rice
- allow it to cool
- strain it
- and drink it throughout the day
- Health Benefits: Helps bind the stool and provides relief from loose motion
- Remedy  Pomegranate Untitled  Ingredients: Pomegranate
- Preparation: Eat one pomegranate daily until symptoms reduce
- Health Benefits: Has natural astringent properties that can help reduce inflammation in the intestines and provide relief from loose motion
- Remedy  Buttermilk and Fenugreek Seeds Ingredients: A glass of buttermilk
- a teaspoon full of fenugreek seeds
- Preparation: Add fenugreek seeds to buttermilk and let it sit for a few hours
- Drink this mixture a few times a day
- Health Benefits: Buttermilk (probiotic-rich) restores the balance of gut bacteria
- Fenugreek seeds help regulate bowel movements
- Remedy  Musta Nagarmotha) Powder Ingredients: One teaspoon full of musta powder
- a glass of warm water
- Preparation: Mix musta powder with warm water and consume twice a day
- Health Benefits: Has anti-diarrheal properties
- helps reduce loose motion
- and restores balance in the digestive system
- Remedy  Black Seeds Kalonji) Oil with Honey Ingredients: Half teaspoon of black seed oil
- a teaspoon of honey
- Preparation: Mix black seed oil with honey and consume it twice a day
- Health Benefits: Has antimicrobial and anti-inflammatory properties
- soothes the digestive system
- and promotes healing
- Source: ""Top  Effective Home Remedies for Loose Motions | Simple Solutions for Diarrhea Relief | Dr
- Hansaji"" Remedy  Sesame Seed Chutney Ingredients:  tbsp roasted sesame seeds
- tbsp peanuts
- half cup grated fresh coconut
- cup chopped red bell pepper
- tablespoon tamarind
- salt to taste
- Untitled  Preparation: Place sesame seeds and coconut in a blender
- Mix roasted peanut and tamarind
- red bell pepper
- and salt
- Blend all ingredients into a smooth and fine consistency
- Health Benefits: Provides various nutrients
- Remedy  Sesame Pancake Ingredients:  cup oat flour
- half cup sesame seed paste
- half cup jaggery powder
- teaspoon baking powder
- half cup curd
- teaspoon honey
- little salt to taste
- milk as required
- Preparation: Roast oats flour slightly
- In a mixing bowl
- add oats flour
- sesame seed paste
- jaggery powder
- baking powder
- curd
- and salt
- Add milk to make a pancake batter consistency
- Heat a pan
- brush with oil
- pour a little batter at a time
- and make pancakes on low flame
- Drizzle honey while eating
- Health Benefits: Nutritious and energy-providing
- Remedy  Sesame Thill) Ladoo Ingredients:  cup sesame seeds
- cup deseeded dates
- half cup milk
- teaspoon ghee
- Preparation: Roast sesame seeds on slow fire until light brown
- Blend date and milk to make a thick paste
- Mix sesame seeds
- date paste
- and ghee
- Roll small portions into round balls
- Health Benefits: Rejuvenating
- makes person physically stronger (calcium for bones
- muscles
- joints)
- good source of plant-based protein
- Source: ""Top  Benefits of Sesame Seed as You Get Older |  Sesame Anti Ageing Healthy Recipe"" Remedy  Warm Water with Lemon Ingredients: Warm water
- a few drops of lemon juice
- Preparation: Squeeze lemon juice into warm water and drink throughout the day
- Health Benefits: Flushes out toxins and boosts the immune system
- reduces inflammation
- Untitled  Remedy  Salt Water Gargle Ingredients: A teaspoon of salt
- a glass of warm water
- Preparation: Mix salt in warm water
- Gargle with it for  seconds and spit it out
- Do this several times a day
- Health Benefits: Soothes a sore throat and reduces inflammation
- Remedy  Kadha Herbal Concoction) Ingredients: Half teaspoon grated ginger
- two to three hand-crushed Tulsi leaves
- a pinch of cinnamon powder
- a pinch of black pepper powder
- one and a half cups of water
- optional honey
- Preparation: Boil all ingredients in water for  to  minutes
- Strain the kada and drink it warm
- Add honey if desired
- Drink two to three times a day
- Health Benefits: Boosts the immune system and reduces cold and cough symptoms
- Tulsi
- ginger
- and turmeric are antiviral and help keep diseases at bay
- Source: ""Top  Natural Remedies to Reduce Cough and Cold in One Day | Health Tips | Easy Home Remedies"" Remedy  Curd and Turmeric Face Pack Ingredients: Two spoons of curd
- a pinch of turmeric
- Preparation: Mix curd and turmeric well and apply it on the face
- Once it dries off after  minutes
- wash it with warm water
- Health Benefits: Helps remove dark spots and bring out skin's natural glow
- Remedy  Milk and Turmeric for Dark Circles Ingredients: A spoon of milk
- a pinch of turmeric
- Preparation: Apply underneath eyes
- keep for  minutes
- and wash out
- Health Benefits: Helps remove dark circles
- Remedy  Honey
- Turmeric
- Black Pepper
- Ginger Mixture Untitled  Ingredients: One teaspoon full of honey
- a pinch of turmeric
- a pinch of black pepper
- grated ginger or ginger powder (sooth)
- Preparation: Mix all ingredients and have this anytime in a day
- Health Benefits: Boosts immunity
- Remedy  Warm Turmeric Milk Ingredients: Warm milk
- turmeric
- Preparation: Drink a glass of warm turmeric milk at night
- Health Benefits: Boosts the immune system
- Remedy  Warm Water or Herbal Tea with Turmeric Ingredients: A glass of warm water or herbal tea
- a pinch of turmeric
- Preparation: Add a pinch of turmeric to warm water or herbal tea and drink every morning
- Health Benefits: Helps fight depression
- protects against viruses
- aids in the development of the immune system
- Source: ""Top  Health Benefits of Consuming Turmeric | Healthy Tips | Boost Immunity with Turmeric"" Remedy  Turmeric and Coconut Oil Paste Oil Pulling) Ingredients: A teaspoon of coconut oil
- some turmeric powder
- Preparation: Mix coconut oil and turmeric
- Swish it around in your mouth for  to  minutes
- Spit out and rinse your mouth
- Health Benefits: Whitens teeth
- detoxifies the mouth by pulling harmful bacteria
- coconut oil (lauric acid) reduces bad bacteria
- provides whitening and oral detox
- Remedy  Turmeric Paste Ingredients: Half a teaspoon of turmeric powder
- a few drops of water
- Preparation: Mix turmeric powder with water to make a thick paste
- Apply to your toothbrush and gently brush your teeth for about  minutes
- Rinse thoroughly
- Do this two to three times a week
- Untitled  Health Benefits: Mild abrasive action helps remove stains
- making teeth look whiter
- curcumin has medicinal and pharmacological properties beneficial for oral health
- Source: ""Teeth Whitening at Home| Ayurvedic Turmeric/Haldi Remedy for Brighter Teeth| Natural Oral Care Tips"" Remedy  Water Boiled with Neem Leaves Hair Rinse Ingredients: Water
- neem leaves
- Preparation: Boil neem leaves in water and use this water to wash hair
- Health Benefits: Prevents infection and dandruff
- aiding in preventing hair loss
- Remedy  Buttermilk or Curd Hair Rinse Ingredients: Buttermilk or curd
- Preparation: Pour buttermilk or curd on the scalp and take a bath
- Health Benefits: Helps in removing dandruff
- Remedy  Curry Leaves and Coconut Oil Ingredients: Curry leaves
- coconut oil
- Preparation: Roast curry leaves and put them in coconut oil
- Boil until the oil becomes dark black in color
- Let it cool down and strain
- Apply this oil on the hair and scalp nicely and keep it overnight
- Wash with a simple natural shampoo
- Health Benefits: Promotes natural hair growth and brings bounce to hair
- Remedy  Aloe Vera Gel Ingredients: Aloe vera gel
- Preparation: Extract gel from aloe vera and apply directly on the scalp
- Keep it in and then wash
- Health Benefits: Helps in strengthening hair roots
- reduces dandruff
- and works like a conditioner
- supporting hair growth and preventing hair loss
- Remedy  Amla Powder or Lemon Juice Paste Untitled  Ingredients: Amla powder or lemon juice
- water
- Preparation: Mix amla powder or lemon juice with water to make a paste
- Apply the paste on the scalp all over
- Keep it dry for some time and then rinse with water
- Health Benefits: Vitamin C in amla and lemon helps in strengthening hair follicles and preventing hair loss
- Source: ""Simple home remedies to prevent hair loss | Dr
- Hansaji Yogendra"" Remedy  Alum Fitkari) for Body Odor Ingredients: Alum (fitkari) powder
- Preparation: Take a small piece of alum
- wet it
- and rub it under your armpits after a bath
- Health Benefits: Alum has excellent antiseptic and astringent properties
- which help control bacteria
- Remedy  Lemon Juice for Body Odor Ingredients: Lemon juice
- Preparation: Rub lemon juice on your armpits and feet after a bath
- Allow it to dry before wearing clothes
- Health Benefits: Lemon juice kills bacteria and provides a fresh feel
- Source: ""Natural home remedies for body odour | Dr
- Hansaji Yogendra"" Remedy  Cooling Cucumber and Yogurt Body Mask for Sun Tan Ingredients: Cucumber slices
- yogurt
- Preparation: Blend cucumber slices with yogurt to form a smooth paste
- Apply the mixture to the entire body and leave it on for  minutes
- Rinse off with cool water
- Health Benefits: Cucumber has cooling properties that soothe sunburned skin
- Yogurt contains lactic acid which can exfoliate dead skin cells
- Helps remove sun tan
- Remedy  Lemon and Honey Mask for Sun Tan Untitled  Ingredients: Equal parts of honey and lemon juice
- Preparation: Mix honey and lemon juice to form a paste
- Apply to the affected area and leave it on for  to  minutes
- Rinse off with lukewarm water
- Health Benefits: Lemon juice (citric acid) is a natural bleaching agent
- Honey has moisturizing and anti-inflammatory properties that soothe the skin
- Helps remove sun tan
- Source: ""Natural Remedies to Remove Sun Tan | Get Rid of Sun Tan & Keep Skin Glowing | Dr
- Hansaji"" Remedy  Kapala Randhra Dhouti Facial Cleansing) Preparation: Stand or sit erect comfortably
- Using one or both hands
- rub your forehead horizontally with fingertips from one side to the other
- Place index or middle finger at the bridge of nose near inner eye and move them down under the eye outwards towards temple
- Rub index finger from front of the ear to the back a couple of times
- Maintain deep or moderate pressure throughout the movement
- For acne
- pimple
- or dry skin
- avoid rubbing; simply go over the area with pressure and release
- For very dry skin
- apply a little cream or facial oil before practice
- Health Benefits: Internally cleanses the face/head region through external practice
- stimulates facial nerves and improves blood circulation to the face
- cleanses sinuses
- relieves mild headache and reduces migraine
- aids in prevention of dizziness
- calms the mind and promotes clarity of thoughts
- calms nervous system and reduces depression
- Remedy  Jala Neti Nasal Cleansing) Ingredients: A cup of boiled and cooled water (little warmer than body temperature)
- a pinch of salt (to taste like tears)
- Preparation: Wash hands
- stand comfortably
- cup the right palm and pour water into it
- Hold palm near face
- close left nostril with left index finger
- bend forward
- and dip right nostril into the cupped palm
- Inhale deeply so water is sniffed into the nostril
- Immediately bend head forward and water will flow out from mouth and nose
- Repeat with the other side
- Untitled  Health Benefits: Cleanses nasal passage and drains sinus cavities
- allowing easy airflow
- removes dirt and bacteria-filled mucus
- reduces allergies or rhinitis
- helps prevent tinnitus and middle ear infection
- cleanses eye ducts and improves vision
- reduces frequency of sinusitis and migraine attacks
- Source: ""How to Treat Sinus/Mucous/Phlegm at Home? Natural Home Remedies | Yoga"" Remedy  Ashwagandha Tea Ingredients: One spoon of ashwagandha powder or a few dried roots
- water
- optional teaspoon of honey and squeeze of lemon
- Preparation: Boil ashwagandha powder or dried roots in water for  to  minutes
- Put the lid and let it simmer on slow gas
- Strain the decoction into a cup
- Add honey and lemon for better taste if desired
- Health Benefits: Helps restore lost melanin and prevent premature graying of hair
- contains tyrosine which helps in melanin formation
- reduces cortisol levels preventing follicle damage and hair loss
- Remedy  Bhringraj and Amla Oil Ingredients: Some amla oil
- bringraj oil
- Preparation: Mix some amla oil with bringraj oil
- Massage it on your scalp before going to bed and rinse it the next morning
- Health Benefits: Preserves hair's natural color and prevents premature graying
- may make hair appear less gray
- provides deep conditioning and brings out natural shine
- stimulates hair growth and improves hair quality
- purifies blood and retains natural hair color
- Remedy  Hibiscus Yogurt Pack Ingredients: Four tablespoons full of yogurt
- ¼ cup hibiscus powder
- Preparation: Mix yogurt and hibiscus powder well to make a paste
- Apply it to dry hair and scalp
- Allow it to stay for  to  minutes and then wash it with lukewarm water
- Health Benefits: Prevents premature graying of hair
- Untitled  Source: ""How to Reverse Greying of Hair Naturally?  Best Home Remedies For Premature Greying Hairs"" The source emphasizes lifestyle management rather than specific homemade remedies but mentions drinking warm water and fresh juices
- buttermilk
- and warm soups as helpful for maintaining a well-moisturized digestive system and preventing constipation
- It also highlights the importance of a diet rich in fiber
- fresh leafy vegetables
- and fruits
- Source: ""How to Cure Constipation Naturally ?  Simple Ways to Get Rid of Constipation"" Remedy: Shankha Prakshalana Intestinal Cleansing) Ingredients:  liters (approximately  glasses) of boiled and cooled water
- salt (to taste like tears)
- ghee
- yellow moong lentil (moong dal)
- rice
- turmeric
- Preparation: Boil water and add salt
- cool to body temperature
- Drink  glasses of this water in the morning
- Perform a sequence of six asanas Tadasana
- Tiryak Tadasana
- Kati Chakrasana
- Tiryak Bhujangasana
- Udarakarshan) six times each in a dynamic motion
- Evacuate bowels when the urge arises
- Repeat drinking water and asanas until clear water is evacuated
- Rest in Shavasana (do not sleep)
- First meal after kriya should be khichdi (yellow moong dal and rice with ghee and turmeric)
- Second meal also khichdi after six hours
- For the next two days
- stick to boiled vegetables without spices
- onion
- or garlic
- avoid oil
- fruits
- buttermilk
- lemon water
- and diluted milk
- Rest and avoid heavy activity for two days
- Health Benefits: Detoxifies the digestive system from mouth to anus
- removes old food particles and impurities
- promoting better overall health
- Source: ""How to Cleanse Intestine Naturally at Home with these Asanas | Detox Digestive System| Home Remedies"" Remedy: Turmeric Milk Golden Milk/Haldi Doodh) Ingredients:  cup whole milk (can use almond
- coconut
- rice
- or soy milk)
- ½ teaspoon turmeric powder
- ¼ teaspoon freshly crushed pepper
- ¼ teaspoon ghee or coconut oil
- optional palm sugar or honey for sweetener
- Untitled  Preparation: Add milk to a saucepan and bring to a boil
- Add turmeric powder
- crushed pepper
- and ghee or coconut oil
- Bring to a boil
- and simmer for a minute
- Switch off the flame
- Pour the milk from a height to another pan and back a few times to make it frothy
- Pour into a glass or mug and consume warm
- If adding honey
- make sure milk is warm
- not hot
- Health Benefits: Helps to sleep better at night
- may help break down abdominal fat cells and aid in weight loss
- strengthens bones
- great for cold and cough
- good for sore throat
- boosts immunity
- helps with bloating and gases
- gives a glowing complexion
- Pepper helps curcumin absorption
- and ghee/coconut oil lubricates joints and soothes sore throat
- Source: ""How To Make Turmeric Milk  Golden Milk Recipe  Haldi Doodh For Quick Weight Loss & To Sleep Better"" Remedy  Head Massage with Brahmi or Jamasi Oil Shiro Abhyanga) Ingredients: Some natural brahmi oil or jamasi oil
- Preparation: Take some oil on your fingertip and move them in circular motion along your scalp
- Health Benefits: Relaxing practice that helps fall into deep sleep quickly
- Remedy  Foot Massage with Sesame Oil Pada Abhyanga) Ingredients: Some sesame oil (gently warmed)
- Preparation: Apply warm sesame oil on the soles of your feet and rub in a circular motion moving upwards from heel to toes
- Wash away after  minutes or cover feet with socks and go to sleep
- Health Benefits: Works on nerve centers of the feet
- helps release stress and relax
- promoting better sleep
- Remedy  Shankhpushpi Tea Ingredients: Shankhpushpi flowers or ¼ teaspoon of Shankhpushpi flour powder
- a cup of water
- a few drops of lemon juice (optional)
- Preparation: Gently boil Shankhpushpi flowers in a cup of water until the water turns blue-violet
- Strain and pour into a cup
- Add a few drops of lemon juice (optional) and sip warm
- If using powder
- add powder to a Untitled  glass of hot water
- cover for half an hour
- strain
- add lemon juice
- and drink warm at night
- Health Benefits: Has antioxidants and flavonoids which helps in bringing calmness and reducing stress
- promoting better sleep
- Remedy  Ashwagandha and Warm Cow Milk Ingredients: A spoonful of ashwagandha churna
- a cup of warm cow milk
- Preparation: Mix ashwagandha churna in warm cow milk and drink before going to sleep
- Health Benefits: Promotes undisturbed and wonderful sleep
- Remedy  Raisins and Water Ingredients:  to  raisins
- water
- Preparation: Soak raisins in water around  to  p
- In the evening
- Consume these raisins along with the water right before going to sleep
- Health Benefits: Helps to fall into a calm
- undisturbed sleep at night
- Source: ""How To Get Good Sleep | Get Deep & Relaxing Sleep Naturally | Ayurvedic Tips  Say No To Pills"" Remedy  Tomato Juice and Lemon Juice Ingredients: One teaspoonful of tomato juice
- one teaspoonful of lemon juice
- Preparation: Mix equal quantities of tomato juice and lemon juice
- Apply with a soft cotton place around your eyes
- leave for  minutes
- and rinse with cool water
- Health Benefits: Tomato has strong bleaching properties
- and lemon is rich in Vitamin C
- both help lighten dark circles
- Remedy  Cold Milk Ingredients: Cold milk
- Preparation: Dip cotton pads in cold milk and place them over your eyes for  minutes
- Remove and rinse with water
- Untitled  Health Benefits: Has a soothing effect
- rich in Vitamin A
- helps brighten skin and make it soft
- reducing dark circles
- Remedy  Almond Oil Massage Ingredients: Almond oil
- Preparation: Gently massage almond oil around your eyes before going to bed
- Leave it overnight and wash off in the morning
- Health Benefits: Rich in Vitamin E
- moisturizes and helps reduce dark circles
- Remedy  Potato Slices or Juice Ingredients: Potato
- Preparation: Place potato slices around your eyes for  minutes
- Alternatively
- apply potato juice around the eyes
- Wash with cool water
- Health Benefits: Natural bleaching agent
- helps lighten dark circles
- Remedy  Cucumber Slices or Juice Ingredients: Cucumber
- Preparation: Place cucumber slices around your eyes for  minutes
- Alternatively
- apply cucumber juice around the eyes
- Wash with cool water
- Health Benefits: Cooling and relaxing
- helps remove darkness and puffiness
- Source: ""Home remedies for removing dark circles"" Remedy  Warm Oil Application Bhringraj
- Neem
- Fenugreek) Ingredients: Bhringraj oil
- neem oil
- or fenugreek oil
- Preparation: Apply warm oil to the scalp and wash it with shampoo after leaving for a couple of hours
- Health Benefits: These oils are traditionally used to cure dandruff
- Remedy  Amla Powder and Tulsi Leaves Hair Mask Ingredients:  tbsp full of amla powder
- spoons of ground tulsi leaves
- water
- Untitled  Preparation: Mix amla powder and ground tulsi leaves with water to make a hair mask
- Apply it to the scalp and keep it for half an hour
- Wash it out with a mild shampoo
- Health Benefits: Amla Vitamin C and antibacterial) helps remove dandruff
- Tulsi has medicinal properties that benefit the scalp
- Remedy  Aloe Vera Gel and Castor Oil Hair Treatment Ingredients: About one cup of aloe vera gel
- tbsp full of castor oil
- Preparation: Apply this to your scalp and leave it overnight or  hours before your hair wash
- Repeat once a week
- Health Benefits: Soothing effect of aloe vera relieves itchiness of the scalp
- Castor oil may have moisturizing and hair growth-promoting properties
- Remedy  Coconut Oil with Lemon Juice Hair Treatment Ingredients:  tablespoon full of coconut oil (warmed up)
- tablespoon full of lemon juice
- Preparation: Warm coconut oil and add lemon juice
- Apply this oil to your scalp properly
- Can apply in the evening and leave overnight
- or apply two hours before hair wash
- Follow regularly once a week
- Health Benefits: Coconut oil's hydrating property reduces dryness and combats itchy scalp
- Lemon juice Vitamin C
- citric acid
- zinc) fights dandruff due to its antifungal and antioxidant properties
- Remedy  Methi Fenugreek) Seed and Curd Hair Mask with Triphala Churna Ingredients: Methi (fenugreek) seeds (soaked overnight and ground into a paste)
- curd
- one teaspoon full of triphala churna
- Preparation: Soak methi seeds overnight and grind them into a paste
- Add this paste with curd and triphala churna
- Apply this mask to your scalp and leave it for one hour
- Later
- wash it with a mild shampoo
- Health Benefits: Methi removes white flakes
- Triphala and curd have beneficial properties for the scalp
- Untitled  Remedy  Neem Leaves and Curd Hair Mask Ingredients: Water boiled with neem leaves
- curd
- additional neem leaves (optional)
- Preparation: Wash hair with water boiled with neem leaves
- Add neem leaves with curd and apply that on the scalp
- Allow it to remain for  minutes
- then wash hair with warm water
- Health Benefits: Neem (antifungal
- antibacterial
- antiseptic) detoxifies the scalp and reduces itching and irritation
- Curd may provide moisturizing benefits
- Source: ""Home Treatments for Dandruff | How to Treat Dandruff at Home | Hair Care Tips | Home Remedies"" Remedy  Neem Powder Paste Ingredients: Two to three spoons of neem powder
- water
- Preparation: Mix neem powder with water to make a paste
- Apply the paste to your scalp and hair
- ensuring all affected areas are covered
- Leave it on for  minutes before rinsing it off with cool water
- Repeat once a week
- Health Benefits: Neem (antifungal
- antibacterial
- anti-inflammatory) detoxifies the scalp and reduces itching
- Remedy  Neem Oil and Coconut Oil Massage Ingredients: One to two teaspoons of neem oil
- two to three teaspoons of coconut oil
- Preparation: Mix neem oil with coconut oil
- Apply the mixture to your scalp and massage
- Leave it on for  minutes before rinsing it off with a mild shampoo and cool water
- Repeat once a week
- Health Benefits: Neem (antifungal
- antibacterial
- anti-inflammatory) detoxifies the scalp and reduces itching
- Coconut oil provides a carrier and may offer additional moisturizing benefits
- Remedy  Neem Leaf Hair Rinse Ingredients: A handful of fresh neem leaves
- two cups of water
- Untitled  Preparation: Wash neem leaves thoroughly
- Boil the leaves in two cups of water for  minutes until green
